file,study,group,trial,type,time,Resp1,Resp2,HR1,HR2,time_new
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.6847917,NA,0.3558264463453877,0.8894614332155018,-1.1879733623526056,1
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.7014584,NA,0.6098248906699665,0.19472313208610945,-1.375720028342541,2
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.7181251,NA,0.3582052573561997,0.07191092099495286,-1.3179466059143183,3
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.7347917,NA,0.14501691840036912,0.26318348592133517,-0.9959513273272368,4
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.7514583,NA,-0.14902264029650183,0.7082060261057715,-0.37768843542224156,5
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.768125,NA,-0.732716375168167,1.1738522919938568,0.34448333744853543,6
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.7847915,NA,-1.4465139262853457,1.6340724349502673,0.9379953901035911,7
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.8014584,NA,-1.7476167714380573,2.0346199352040193,1.0564577674410323,8
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.8181249,-0.3184464133845094,0.09394519128062495,2.275875622296735,0.9702609617425751,9
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.8347919,NA,-0.12492874627996661,2.380439213766054,0.37051184271326354,10
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.851458299999999,NA,-0.4238665136926844,1.909454553819675,-1.6536147067394238,11
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.8681251,NA,-0.2472199508467702,0.853491309829944,-1.7842151522750478,12
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.8847915,NA,-0.07299590458128279,-0.012674636704967348,-0.7971592473777869,13
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.9014583,NA,0.301082797975389,-0.26833355397437125,-0.2773718262663991,14
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.9181249,NA,-0.1940087974611641,-0.17605363282493966,-0.339314763272484,15
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.9347917,0.7481537711636013,0.17711390862171167,0.2569941517815989,-0.0871007740276753,16
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.9514584,-0.35077438516284787,0.1355856148086037,0.9825397256716852,0.4332314374602852,17
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.9681251,NA,-0.15188072692646976,1.3156074846721082,0.2767666168137596,18
Study1_G1_T1_Synchronous,1,11,1,Synchronous,13.9847917,NA,-0.2604165754564932,1.1509283789239695,-0.20021453323495275,19
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.0014583,NA,-0.8681164988312212,1.0746167264952409,-0.20385706557299896,20
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.018125,NA,-1.5495839730736432,1.3184628645634133,-0.04376598398241935,21
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.0347915,NA,-1.904275871775917,1.6337619635670229,-0.29038396964398555,22
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.0514584,NA,0.228947997051875,1.927793501477347,-0.6093093183004326,23
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.0681249,4.909895802069318,0.5349692377649692,2.2224858264577105,-0.045462728789097975,24
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.0847919,NA,0.3911553678724966,2.2437618276884153,-0.7401146026070726,25
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.101458299999999,1.3625379165831006,0.2873982058866808,1.833189129351735,-1.058590077351894,26
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.1181251,NA,0.31928350132741556,1.6564526517905547,-0.226146615424183,27
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.1347915,-0.35607442742014644,-0.08956236694753333,1.7208066288518005,0.3166758264408454,28
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.1514583,-0.26963122432959136,-0.8284436199287872,1.56351459985799,0.39379997404008693,29
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.1681249,NA,-1.8524201695495934,1.385307738965683,0.3124805186902897,30
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.1847917,NA,-2.3012201758194513,1.3882038057461736,0.2771232315320528,31
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.2014584,1.943848426722406,0.8365253642787418,1.660861373994832,1.1103395846743127,32
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.2181251,NA,0.7324607697511715,2.0007431372718107,0.698873997239991,33
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.2347917,NA,-0.9602386906995355,1.8713913906030195,-0.9397084404292981,34
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.2514583,NA,-1.55590499793994,1.1782205700878585,-1.2141702765451339,35
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.268125,NA,-1.668377276620804,0.5985240125522181,-0.7329709935959623,36
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.2847915,NA,-0.3256914510460849,0.47291857297085416,0.37665881377634813,37
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.3014584,NA,-0.6751362957436131,0.5362881815176458,1.0142072850119768,38
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.3181249,NA,-1.5252600851431033,0.38391336801568166,1.3709535304056717,39
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.3347919,1.1243999744290885,-0.7590159776615482,0.21249457689983908,1.4012314307398668,40
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.351458299999999,-0.23336700862477272,0.3035641400797526,0.4413608134732306,1.643584051260086,41
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.3681251,NA,0.06821532901084627,0.7346974324549149,0.8518202795971221,42
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.3847915,0.026179910916625963,0.04449402147143363,0.6359399129122635,-1.0988806101103674,43
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.4014583,NA,0.7034753212224537,0.5395873898196436,-1.1144238592198132,44
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.4181249,-0.29319414865519006,0.30139615649866064,0.817165186874861,-1.7355675110341966,45
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.4347917,NA,-0.05091924011839254,0.9631732091345991,-1.8350551529306447,46
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.4514584,NA,-1.293759204728432,0.8514616638567208,-1.5876850070157602,47
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.4681251,NA,-2.6010806327604445,0.8239299641570269,-1.0841942909522118,48
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.4847917,2.0418252312687466,-0.09720037846211041,0.9015019818781546,-0.17981125979822904,49
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.5014583,NA,-0.18639193218907343,1.1423423456604977,0.49480600818575005,50
Study1_G1_T1_Synchronous,1,11,1,Synchronous,14.518125,NA,-0.995219349578017,0.7655315537068933,0.08298757255952516,51
